"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"2","30.001240842","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"3","60.005125581","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"4","74.754193936","::1","::1","TCP","94","0.000000000","0.000000000","45582  >  631 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM=1 TSval=3917556029 TSecr=0 WS=128"
"5","74.754212994","::1","::1","TCP","74","0.000019058","0.000019058","631  >  45582 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"6","74.754310331","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","51648  >  631 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3014267377 TSecr=0 WS=128"
"7","74.754325807","127.0.0.1","127.0.0.1","TCP","54","0.000015476","0.000015476","631  >  51648 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"8","90.054895182","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"9","103.004952943","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","52906  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3014295628 TSecr=0 WS=128"
"10","103.004970867","127.0.0.1","127.0.0.1","TCP","74","0.000017924","0.000017924","8822  >  52906 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3014295628 TSecr=3014295628 WS=128"
"11","103.004985094","127.0.0.1","127.0.0.1","TCP","66","0.000032151","0.000014227","52906  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3014295628 TSecr=3014295628"
"12","103.007615106","127.0.0.1","127.0.0.1","TLSv1.3","418","0.002662163","0.002630012","Client Hello"
"13","103.007633383","127.0.0.1","127.0.0.1","TCP","66","0.002680440","0.000018277","8822  >  52906 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3014295630 TSecr=3014295630"
"14","103.015570658","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.010617715","0.007937275","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"15","103.015585924","127.0.0.1","127.0.0.1","TCP","66","0.010632981","0.000015266","52906  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3014295638 TSecr=3014295638"
"16","103.019143960","127.0.0.1","127.0.0.1","HTTP2","237","0.014191017","0.003558036","Magic, SETTINGS[0]"
"17","103.019203384","127.0.0.1","127.0.0.1","TCP","66","0.014250441","0.000059424","8822  >  52906 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3014295642 TSecr=3014295642"
"18","103.020343957","127.0.0.1","127.0.0.1","HTTP2","643","0.015391014","0.001140573","SETTINGS[0]"
"19","103.020375003","127.0.0.1","127.0.0.1","TCP","66","0.015422060","0.000031046","52906  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3014295643 TSecr=3014295643"
"20","103.021062440","127.0.0.1","127.0.0.1","HTTP2","97","0.016109497","0.000687437","SETTINGS[0]"
"21","103.021073785","127.0.0.1","127.0.0.1","TCP","66","0.016120842","0.000011345","52906  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3014295644 TSecr=3014295644"
"22","103.028156314","127.0.0.1","127.0.0.1","HTTP2","32834","0.023203371","0.007082529","HEADERS[1]: POST /post/0-60_18314587645695,24_831518950092683"
"23","103.028173520","127.0.0.1","127.0.0.1","TCP","66","0.023220577","0.000017206","8822  >  52906 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=3014295651 TSecr=3014295651"
"24","103.028200576","127.0.0.1","127.0.0.1","HTTP2","20049","0.023247633","0.000027056","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
"25","103.028207467","127.0.0.1","127.0.0.1","TCP","66","0.023254524","0.000006891","8822  >  52906 [ACK] Seq=2796 Ack=53275 Win=37888 Len=0 TSval=3014295651 TSecr=3014295651"
"26","103.029403594","127.0.0.1","127.0.0.1","HTTP2","114","0.024450651","0.001196127","WINDOW_UPDATE[0], WINDOW_UPDATE[1]"
