"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"2","14.967070593","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","51570  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2994814362 TSecr=0 WS=128"
"3","14.967092143","127.0.0.1","127.0.0.1","TCP","74","0.000021550","0.000021550","8822  >  51570 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=2994814362 TSecr=2994814362 WS=128"
"4","14.967115433","127.0.0.1","127.0.0.1","TCP","66","0.000044840","0.000023290","51570  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2994814362 TSecr=2994814362"
"5","14.971286015","127.0.0.1","127.0.0.1","TLSv1.3","418","0.004215422","0.004170582","Client Hello"
"6","14.971300673","127.0.0.1","127.0.0.1","TCP","66","0.004230080","0.000014658","8822  >  51570 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=2994814366 TSecr=2994814366"
"7","14.980536815","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.013466222","0.009236142","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"8","14.980547935","127.0.0.1","127.0.0.1","TCP","66","0.013477342","0.000011120","51570  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=2994814375 TSecr=2994814375"
"9","14.981930149","127.0.0.1","127.0.0.1","HTTP2","237","0.014859556","0.001382214","Magic, SETTINGS[0]"
"10","14.981943860","127.0.0.1","127.0.0.1","TCP","66","0.014873267","0.000013711","8822  >  51570 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=2994814377 TSecr=2994814377"
"11","14.982371377","127.0.0.1","127.0.0.1","HTTP2","643","0.015300784","0.000427517","SETTINGS[0]"
"12","14.982380503","127.0.0.1","127.0.0.1","TCP","66","0.015309910","0.000009126","51570  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=2994814377 TSecr=2994814377"
"13","14.982658689","127.0.0.1","127.0.0.1","HTTP2","97","0.015588096","0.000278186","SETTINGS[0]"
"14","14.982668254","127.0.0.1","127.0.0.1","TCP","66","0.015597661","0.000009565","51570  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=2994814378 TSecr=2994814378"
"15","14.990339218","127.0.0.1","127.0.0.1","HTTP2","32834","0.023268625","0.007670964","HEADERS[1]: POST /post/0-60_18314587645695,24_831518950092683"
"16","14.990357702","127.0.0.1","127.0.0.1","TCP","66","0.023287109","0.000018484","8822  >  51570 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=2994814385 TSecr=2994814385"
"17","14.990372218","127.0.0.1","127.0.0.1","HTTP2","20049","0.023301625","0.000014516","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
