"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","UDP","86","","","57621  >  57621 Len=44"
"2","0.460807715","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","53162  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3016324042 TSecr=0 WS=128"
"3","0.460831533","127.0.0.1","127.0.0.1","TCP","74","0.000023818","0.000023818","8822  >  53162 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3016324042 TSecr=3016324042 WS=128"
"4","0.460854013","127.0.0.1","127.0.0.1","TCP","66","0.000046298","0.000022480","53162  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3016324042 TSecr=3016324042"
"5","0.464466763","127.0.0.1","127.0.0.1","TLSv1.3","418","0.003659048","0.003612750","Client Hello"
"6","0.464511350","127.0.0.1","127.0.0.1","TCP","66","0.003703635","0.000044587","8822  >  53162 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3016324046 TSecr=3016324046"
"7","0.473738551","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.012930836","0.009227201","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"8","0.473789435","127.0.0.1","127.0.0.1","TCP","66","0.012981720","0.000050884","53162  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3016324055 TSecr=3016324055"
"9","0.477149783","127.0.0.1","127.0.0.1","HTTP2","237","0.016342068","0.003360348","Magic, SETTINGS[0]"
"10","0.477173049","127.0.0.1","127.0.0.1","TCP","66","0.016365334","0.000023266","8822  >  53162 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3016324058 TSecr=3016324058"
"11","0.478174770","127.0.0.1","127.0.0.1","HTTP2","643","0.017367055","0.001001721","SETTINGS[0]"
"12","0.478240234","127.0.0.1","127.0.0.1","TCP","66","0.017432519","0.000065464","53162  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3016324059 TSecr=3016324059"
"13","0.479493893","127.0.0.1","127.0.0.1","HTTP2","97","0.018686178","0.001253659","SETTINGS[0]"
"14","0.479504014","127.0.0.1","127.0.0.1","TCP","66","0.018696299","0.000010121","53162  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3016324061 TSecr=3016324061"
"15","0.486667663","127.0.0.1","127.0.0.1","HTTP2","32834","0.025859948","0.007163649","HEADERS[1]: POST /post/0-60_18314587645695,24_831518950092683"
"16","0.486690140","127.0.0.1","127.0.0.1","TCP","66","0.025882425","0.000022477","8822  >  53162 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=3016324068 TSecr=3016324068"
"17","0.486708905","127.0.0.1","127.0.0.1","HTTP2","20049","0.025901190","0.000018765","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
"18","0.486716123","127.0.0.1","127.0.0.1","TCP","66","0.025908408","0.000007218","8822  >  53162 [ACK] Seq=2796 Ack=53275 Win=37888 Len=0 TSval=3016324068 TSecr=3016324068"
"19","0.487917196","127.0.0.1","127.0.0.1","HTTP2","114","0.027109481","0.001201073","WINDOW_UPDATE[0], WINDOW_UPDATE[1]"
"20","0.487931226","127.0.0.1","127.0.0.1","TCP","66","0.027123511","0.000014030","53162  >  8822 [ACK] Seq=53275 Ack=2844 Win=65536 Len=0 TSval=3016324069 TSecr=3016324069"
"21","0.489854148","127.0.0.1","127.0.0.1","HTTP2","113","0.029046433","0.001922922","HEADERS[1]: 201 Created"
"22","0.489873609","127.0.0.1","127.0.0.1","TCP","66","0.029065894","0.000019461","53162  >  8822 [ACK] Seq=53275 Ack=2891 Win=65536 Len=0 TSval=3016324071 TSecr=3016324071"
"23","1.483570425","127.0.0.1","127.0.0.1","HTTP2","32834","1.022762710","0.993696816","HEADERS[3]: POST /post/0-60_18314587645695,24_831518950092683"
"24","1.483609567","127.0.0.1","127.0.0.1","HTTP2","13210","1.022801852","0.000039142","DATA[3][TLS segment of a reassembled PDU], DATA[3], DATA[3]"
"25","1.483738401","127.0.0.1","127.0.0.1","TCP","66","1.022930686","0.000128834","8822  >  53162 [ACK] Seq=2891 Ack=99187 Win=65536 Len=0 TSval=3016325065 TSecr=3016325065"
"26","1.484988362","127.0.0.1","127.0.0.1","HTTP2","101","1.024180647","0.001249961","WINDOW_UPDATE[0]"
"27","1.485020755","127.0.0.1","127.0.0.1","TCP","66","1.024213040","0.000032393","53162  >  8822 [ACK] Seq=99187 Ack=2926 Win=65536 Len=0 TSval=3016325066 TSecr=3016325066"
"28","1.485735705","127.0.0.1","127.0.0.1","HTTP2","101","1.024927990","0.000714950","WINDOW_UPDATE[3]"
"29","1.485744219","127.0.0.1","127.0.0.1","TCP","66","1.024936504","0.000008514","53162  >  8822 [ACK] Seq=99187 Ack=2961 Win=65536 Len=0 TSval=3016325067 TSecr=3016325067"
"30","1.487061370","127.0.0.1","127.0.0.1","HTTP2","6803","1.026253655","0.001317151","DATA[3], DATA[3] (JPEG JFIF image)"
"31","1.487370796","127.0.0.1","127.0.0.1","TCP","66","1.026563081","0.000309426","8822  >  53162 [ACK] Seq=2961 Ack=105924 Win=196480 Len=0 TSval=3016325068 TSecr=3016325068"
"32","1.487854673","127.0.0.1","127.0.0.1","HTTP2","101","1.027046958","0.000483877","WINDOW_UPDATE[0]"
"33","1.488591215","127.0.0.1","127.0.0.1","HTTP2","100","1.027783500","0.000736542","HEADERS[3]: 201 Created"
"34","1.488669402","127.0.0.1","127.0.0.1","TCP","66","1.027861687","0.000078187","53162  >  8822 [ACK] Seq=105924 Ack=3030 Win=65536 Len=0 TSval=3016325070 TSecr=3016325069"
"35","2.484294172","127.0.0.1","127.0.0.1","HTTP2","52715","2.023486457","0.995624770","DATA[5], DATA[5], DATA[5], DATA[5], DATA[5]"
