"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","52910  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3014570792 TSecr=0 WS=128"
"2","0.000020797","127.0.0.1","127.0.0.1","TCP","74","0.000020797","0.000020797","8822  >  52910 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3014570792 TSecr=3014570792 WS=128"
"3","0.000040385","127.0.0.1","127.0.0.1","TCP","66","0.000040385","0.000019588","52910  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3014570792 TSecr=3014570792"
"4","0.003379653","127.0.0.1","127.0.0.1","TLSv1.3","418","0.003379653","0.003339268","Client Hello"
"5","0.003397377","127.0.0.1","127.0.0.1","TCP","66","0.003397377","0.000017724","8822  >  52910 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3014570796 TSecr=3014570795"
"6","0.010913343","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.010913343","0.007515966","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"7","0.010928669","127.0.0.1","127.0.0.1","TCP","66","0.010928669","0.000015326","52910  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3014570803 TSecr=3014570803"
"8","0.012465900","127.0.0.1","127.0.0.1","HTTP2","237","0.012465900","0.001537231","Magic, SETTINGS[0]"
"9","0.012479967","127.0.0.1","127.0.0.1","TCP","66","0.012479967","0.000014067","8822  >  52910 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3014570805 TSecr=3014570805"
"10","0.013045518","127.0.0.1","127.0.0.1","HTTP2","643","0.013045518","0.000565551","SETTINGS[0]"
"11","0.013059593","127.0.0.1","127.0.0.1","TCP","66","0.013059593","0.000014075","52910  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3014570805 TSecr=3014570805"
"12","0.013488013","127.0.0.1","127.0.0.1","HTTP2","97","0.013488013","0.000428420","SETTINGS[0]"
"13","0.013494759","127.0.0.1","127.0.0.1","TCP","66","0.013494759","0.000006746","52910  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3014570806 TSecr=3014570806"
"14","0.020891462","127.0.0.1","127.0.0.1","HTTP2","32834","0.020891462","0.007396703","HEADERS[1]: PUT /put/0-60_18314587645695,24_831518950092683"
"15","0.020921045","127.0.0.1","127.0.0.1","TCP","66","0.020921045","0.000029583","8822  >  52910 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=3014570813 TSecr=3014570813"
"16","0.020961770","127.0.0.1","127.0.0.1","HTTP2","20053","0.020961770","0.000040725","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
"17","0.020972006","127.0.0.1","127.0.0.1","TCP","66","0.020972006","0.000010236","8822  >  52910 [ACK] Seq=2796 Ack=53279 Win=37888 Len=0 TSval=3014570813 TSecr=3014570813"
"18","0.023079665","127.0.0.1","127.0.0.1","HTTP2","114","0.023079665","0.002107659","WINDOW_UPDATE[0], WINDOW_UPDATE[1]"
"19","0.023089539","127.0.0.1","127.0.0.1","TCP","66","0.023089539","0.000009874","52910  >  8822 [ACK] Seq=53279 Ack=2844 Win=65536 Len=0 TSval=3014570815 TSecr=3014570815"
"20","0.023851128","127.0.0.1","127.0.0.1","HTTP2","110","0.023851128","0.000761589","HEADERS[1]: 200 OK"
"21","0.023856518","127.0.0.1","127.0.0.1","TCP","66","0.023856518","0.000005390","52910  >  8822 [ACK] Seq=53279 Ack=2888 Win=65536 Len=0 TSval=3014570816 TSecr=3014570816"
"22","1.017326929","127.0.0.1","127.0.0.1","HTTP2","32834","1.017326929","0.993470411","HEADERS[3]: PUT /put/0-60_18314587645695,24_831518950092683"
"23","1.017401066","127.0.0.1","127.0.0.1","HTTP2","13210","1.017401066","0.000074137","DATA[3][TLS segment of a reassembled PDU], DATA[3], DATA[3]"
"24","1.017588458","127.0.0.1","127.0.0.1","TCP","66","1.017588458","0.000187392","8822  >  52910 [ACK] Seq=2888 Ack=99191 Win=65536 Len=0 TSval=3014571810 TSecr=3014571809"
"25","1.019386718","127.0.0.1","127.0.0.1","HTTP2","101","1.019386718","0.001798260","WINDOW_UPDATE[0]"
"26","1.019400565","127.0.0.1","127.0.0.1","TCP","66","1.019400565","0.000013847","52910  >  8822 [ACK] Seq=99191 Ack=2923 Win=65536 Len=0 TSval=3014571812 TSecr=3014571812"
"27","1.020194598","127.0.0.1","127.0.0.1","HTTP2","101","1.020194598","0.000794033","WINDOW_UPDATE[3]"
"28","1.020212359","127.0.0.1","127.0.0.1","TCP","66","1.020212359","0.000017761","52910  >  8822 [ACK] Seq=99191 Ack=2958 Win=65536 Len=0 TSval=3014571812 TSecr=3014571812"
"29","1.021196374","127.0.0.1","127.0.0.1","HTTP2","6803","1.021196374","0.000984015","DATA[3], DATA[3] (JPEG JFIF image)"
"30","1.021347909","127.0.0.1","127.0.0.1","TCP","66","1.021347909","0.000151535","8822  >  52910 [ACK] Seq=2958 Ack=105928 Win=196480 Len=0 TSval=3014571813 TSecr=3014571813"
"31","1.022045349","127.0.0.1","127.0.0.1","HTTP2","101","1.022045349","0.000697440","WINDOW_UPDATE[0]"
"32","1.022057532","127.0.0.1","127.0.0.1","TCP","66","1.022057532","0.000012183","52910  >  8822 [ACK] Seq=105928 Ack=2993 Win=65536 Len=0 TSval=3014571814 TSecr=3014571814"
"33","1.023144435","127.0.0.1","127.0.0.1","HTTP2","100","1.023144435","0.001086903","HEADERS[3]: 200 OK"
"34","1.023157159","127.0.0.1","127.0.0.1","TCP","66","1.023157159","0.000012724","52910  >  8822 [ACK] Seq=105928 Ack=3027 Win=65536 Len=0 TSval=3014571815 TSecr=3014571815"
"35","2.017764399","127.0.0.1","127.0.0.1","HTTP2","52715","2.017764399","0.994607240","DATA[5], DATA[5], DATA[5], DATA[5], DATA[5]"
"36","2.017982974","127.0.0.1","127.0.0.1","TCP","66","2.017982974","0.000218575","8822  >  52910 [ACK] Seq=3027 Ack=158577 Win=327424 Len=0 TSval=3014572810 TSecr=3014572810"
"37","2.019938041","127.0.0.1","127.0.0.1","HTTP2","114","2.019938041","0.001955067","WINDOW_UPDATE[0], WINDOW_UPDATE[5]"
"38","2.019951687","127.0.0.1","127.0.0.1","TCP","66","2.019951687","0.000013646","52910  >  8822 [ACK] Seq=158577 Ack=3075 Win=65536 Len=0 TSval=3014572812 TSecr=3014572812"
"39","2.021807259","127.0.0.1","127.0.0.1","HTTP2","100","2.021807259","0.001855572","HEADERS[5]: 200 OK"
"40","2.021817592","127.0.0.1","127.0.0.1","TCP","66","2.021817592","0.000010333","52910  >  8822 [ACK] Seq=158577 Ack=3109 Win=65536 Len=0 TSval=3014572814 TSecr=3014572814"
"41","3.016826477","127.0.0.1","127.0.0.1","HTTP2","45978","3.016826477","0.995008885","DATA[7], DATA[7], DATA[7]"
"42","3.018169853","127.0.0.1","127.0.0.1","HTTP2","101","3.018169853","0.001343376","WINDOW_UPDATE[0]"
"43","3.018195697","127.0.0.1","127.0.0.1","TCP","66","3.018195697","0.000025844","52910  >  8822 [ACK] Seq=204489 Ack=3144 Win=65536 Len=0 TSval=3014573810 TSecr=3014573810"
"44","3.018540218","127.0.0.1","127.0.0.1","HTTP2","101","3.018540218","0.000344521","WINDOW_UPDATE[7]"
"45","3.018547768","127.0.0.1","127.0.0.1","TCP","66","3.018547768","0.000007550","52910  >  8822 [ACK] Seq=204489 Ack=3179 Win=65536 Len=0 TSval=3014573811 TSecr=3014573811"
"46","3.019195781","127.0.0.1","127.0.0.1","HTTP2","6803","3.019195781","0.000648013","DATA[7], DATA[7] (JPEG JFIF image)"
"47","3.019690850","127.0.0.1","127.0.0.1","HTTP2","101","3.019690850","0.000495069","WINDOW_UPDATE[0]"
"48","3.020280779","127.0.0.1","127.0.0.1","HTTP2","100","3.020280779","0.000589929","HEADERS[7]: 200 OK"
"49","3.020341576","127.0.0.1","127.0.0.1","TCP","66","3.020341576","0.000060797","52910  >  8822 [ACK] Seq=211226 Ack=3248 Win=65536 Len=0 TSval=3014573812 TSecr=3014573812"
"50","4.019822574","127.0.0.1","127.0.0.1","HTTP2","52715","4.019822574","0.999480998","DATA[9], DATA[9], DATA[9], DATA[9], DATA[9]"
"51","4.021404122","127.0.0.1","127.0.0.1","HTTP2","114","4.021404122","0.001581548","WINDOW_UPDATE[0], WINDOW_UPDATE[9]"
"52","4.022033811","127.0.0.1","127.0.0.1","HTTP2","100","4.022033811","0.000629689","HEADERS[9]: 200 OK"
"53","4.022073066","127.0.0.1","127.0.0.1","TCP","66","4.022073066","0.000039255","52910  >  8822 [ACK] Seq=263875 Ack=3330 Win=65536 Len=0 TSval=3014574814 TSecr=3014574814"
"54","5.017959174","127.0.0.1","127.0.0.1","HTTP2","45978","5.017959174","0.995886108","DATA[11], DATA[11], DATA[11]"
"55","5.020036939","127.0.0.1","127.0.0.1","HTTP2","101","5.020036939","0.002077765","WINDOW_UPDATE[0]"
"56","5.020667474","127.0.0.1","127.0.0.1","HTTP2","101","5.020667474","0.000630535","WINDOW_UPDATE[11]"
"57","5.021333752","127.0.0.1","127.0.0.1","TCP","66","5.021333752","0.000666278","52910  >  8822 [ACK] Seq=309787 Ack=3400 Win=65536 Len=0 TSval=3014575813 TSecr=3014575812"
"58","5.021757465","127.0.0.1","127.0.0.1","HTTP2","6803","5.021757465","0.000423713","DATA[11], DATA[11] (JPEG JFIF image)"
"59","5.022649268","127.0.0.1","127.0.0.1","HTTP2","101","5.022649268","0.000891803","WINDOW_UPDATE[0]"
"60","5.023758608","127.0.0.1","127.0.0.1","HTTP2","100","5.023758608","0.001109340","HEADERS[11]: 200 OK"
"61","5.023915043","127.0.0.1","127.0.0.1","TCP","66","5.023915043","0.000156435","52910  >  8822 [ACK] Seq=316524 Ack=3469 Win=65536 Len=0 TSval=3014575816 TSecr=3014575815"
"62","6.017633417","127.0.0.1","127.0.0.1","HTTP2","52715","6.017633417","0.993718374","DATA[13], DATA[13], DATA[13], DATA[13], DATA[13]"
"63","6.020023769","127.0.0.1","127.0.0.1","HTTP2","114","6.020023769","0.002390352","WINDOW_UPDATE[0], WINDOW_UPDATE[13]"
"64","6.021575625","127.0.0.1","127.0.0.1","HTTP2","100","6.021575625","0.001551856","HEADERS[13]: 200 OK"
"65","6.021742330","127.0.0.1","127.0.0.1","TCP","66","6.021742330","0.000166705","52910  >  8822 [ACK] Seq=369173 Ack=3551 Win=65536 Len=0 TSval=3014576814 TSecr=3014576812"
"66","7.017391439","127.0.0.1","127.0.0.1","HTTP2","45978","7.017391439","0.995649109","DATA[15], DATA[15], DATA[15]"
"67","7.019508424","127.0.0.1","127.0.0.1","HTTP2","101","7.019508424","0.002116985","WINDOW_UPDATE[0]"
"68","7.020039730","127.0.0.1","127.0.0.1","HTTP2","101","7.020039730","0.000531306","WINDOW_UPDATE[15]"
"69","7.020981348","127.0.0.1","127.0.0.1","TCP","66","7.020981348","0.000941618","52910  >  8822 [ACK] Seq=415085 Ack=3621 Win=65536 Len=0 TSval=3014577813 TSecr=3014577812"
"70","7.021368201","127.0.0.1","127.0.0.1","HTTP2","6803","7.021368201","0.000386853","DATA[15], DATA[15] (JPEG JFIF image)"
"71","7.022258807","127.0.0.1","127.0.0.1","HTTP2","101","7.022258807","0.000890606","WINDOW_UPDATE[0]"
"72","7.023324145","127.0.0.1","127.0.0.1","HTTP2","100","7.023324145","0.001065338","HEADERS[15]: 200 OK"
"73","7.023448968","127.0.0.1","127.0.0.1","TCP","66","7.023448968","0.000124823","52910  >  8822 [ACK] Seq=421822 Ack=3690 Win=65536 Len=0 TSval=3014577816 TSecr=3014577814"
"74","8.017886662","127.0.0.1","127.0.0.1","HTTP2","52715","8.017886662","0.994437694","DATA[17], DATA[17], DATA[17], DATA[17], DATA[17]"
"75","8.020172036","127.0.0.1","127.0.0.1","HTTP2","114","8.020172036","0.002285374","WINDOW_UPDATE[0], WINDOW_UPDATE[17]"
"76","8.022063894","127.0.0.1","127.0.0.1","HTTP2","100","8.022063894","0.001891858","HEADERS[17]: 200 OK"
"77","8.022150396","127.0.0.1","127.0.0.1","TCP","66","8.022150396","0.000086502","52910  >  8822 [ACK] Seq=474471 Ack=3772 Win=65536 Len=0 TSval=3014578814 TSecr=3014578812"
"78","9.018394092","127.0.0.1","127.0.0.1","HTTP2","45978","9.018394092","0.996243696","DATA[19], DATA[19], DATA[19]"
"79","9.019720857","127.0.0.1","127.0.0.1","HTTP2","101","9.019720857","0.001326765","WINDOW_UPDATE[0]"
"80","9.020132432","127.0.0.1","127.0.0.1","HTTP2","101","9.020132432","0.000411575","WINDOW_UPDATE[19]"
"81","9.020381201","127.0.0.1","127.0.0.1","TCP","66","9.020381201","0.000248769","52910  >  8822 [ACK] Seq=520383 Ack=3842 Win=65536 Len=0 TSval=3014579813 TSecr=3014579812"
"82","9.020499461","127.0.0.1","127.0.0.1","HTTP2","6803","9.020499461","0.000118260","DATA[19], DATA[19] (JPEG JFIF image)"
"83","9.020776894","127.0.0.1","127.0.0.1","HTTP2","101","9.020776894","0.000277433","WINDOW_UPDATE[0]"
"84","9.021184010","127.0.0.1","127.0.0.1","HTTP2","100","9.021184010","0.000407116","HEADERS[19]: 200 OK"
"85","9.021225653","127.0.0.1","127.0.0.1","TCP","66","9.021225653","0.000041643","52910  >  8822 [ACK] Seq=527120 Ack=3911 Win=65536 Len=0 TSval=3014579813 TSecr=3014579813"
"86","10.016737333","127.0.0.1","127.0.0.1","HTTP2","52715","10.016737333","0.995511680","DATA[21], DATA[21], DATA[21], DATA[21], DATA[21]"
"87","10.017641365","127.0.0.1","127.0.0.1","HTTP2","114","10.017641365","0.000904032","WINDOW_UPDATE[0], WINDOW_UPDATE[21]"
"88","10.018365758","127.0.0.1","127.0.0.1","HTTP2","100","10.018365758","0.000724393","HEADERS[21]: 200 OK"
"89","10.018433093","127.0.0.1","127.0.0.1","TCP","66","10.018433093","0.000067335","52910  >  8822 [ACK] Seq=579769 Ack=3993 Win=65536 Len=0 TSval=3014580811 TSecr=3014580810"
"90","11.017761287","127.0.0.1","127.0.0.1","HTTP2","45978","11.017761287","0.999328194","DATA[23], DATA[23], DATA[23]"
"91","11.018613891","127.0.0.1","127.0.0.1","HTTP2","101","11.018613891","0.000852604","WINDOW_UPDATE[0]"
"92","11.018835011","127.0.0.1","127.0.0.1","HTTP2","101","11.018835011","0.000221120","WINDOW_UPDATE[23]"
"93","11.019137619","127.0.0.1","127.0.0.1","TCP","66","11.019137619","0.000302608","52910  >  8822 [ACK] Seq=625681 Ack=4063 Win=65536 Len=0 TSval=3014581811 TSecr=3014581811"
"94","11.019270886","127.0.0.1","127.0.0.1","HTTP2","6803","11.019270886","0.000133267","DATA[23], DATA[23] (JPEG JFIF image)"
"95","11.019589344","127.0.0.1","127.0.0.1","HTTP2","101","11.019589344","0.000318458","WINDOW_UPDATE[0]"
"96","11.020018383","127.0.0.1","127.0.0.1","HTTP2","100","11.020018383","0.000429039","HEADERS[23]: 200 OK"
"97","11.020082232","127.0.0.1","127.0.0.1","TCP","66","11.020082232","0.000063849","52910  >  8822 [ACK] Seq=632418 Ack=4132 Win=65536 Len=0 TSval=3014581812 TSecr=3014581812"
"98","12.017776757","127.0.0.1","127.0.0.1","HTTP2","52715","12.017776757","0.997694525","DATA[25], DATA[25], DATA[25], DATA[25], DATA[25]"
