"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","53208  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3016545443 TSecr=0 WS=128"
"2","0.000074021","127.0.0.1","127.0.0.1","TCP","74","0.000074021","0.000074021","8822  >  53208 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3016545443 TSecr=3016545443 WS=128"
"3","0.000143337","127.0.0.1","127.0.0.1","TCP","66","0.000143337","0.000069316","53208  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3016545443 TSecr=3016545443"
"4","0.007825318","127.0.0.1","127.0.0.1","TLSv1.3","418","0.007825318","0.007681981","Client Hello"
"5","0.007846228","127.0.0.1","127.0.0.1","TCP","66","0.007846228","0.000020910","8822  >  53208 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3016545451 TSecr=3016545451"
"6","0.017145750","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.017145750","0.009299522","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"7","0.017168080","127.0.0.1","127.0.0.1","TCP","66","0.017168080","0.000022330","53208  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3016545460 TSecr=3016545460"
"8","0.019470078","127.0.0.1","127.0.0.1","HTTP2","237","0.019470078","0.002301998","Magic, SETTINGS[0]"
"9","0.019496986","127.0.0.1","127.0.0.1","TCP","66","0.019496986","0.000026908","8822  >  53208 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3016545462 TSecr=3016545462"
"10","0.020794612","127.0.0.1","127.0.0.1","HTTP2","643","0.020794612","0.001297626","SETTINGS[0]"
"11","0.020810098","127.0.0.1","127.0.0.1","TCP","66","0.020810098","0.000015486","53208  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3016545464 TSecr=3016545464"
"12","0.021270900","127.0.0.1","127.0.0.1","HTTP2","97","0.021270900","0.000460802","SETTINGS[0]"
"13","0.021277814","127.0.0.1","127.0.0.1","TCP","66","0.021277814","0.000006914","53208  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3016545464 TSecr=3016545464"
"14","0.031061506","127.0.0.1","127.0.0.1","HTTP2","32834","0.031061506","0.009783692","HEADERS[1]: POST /post/0-60_18314587645695,24_831518950092683"
"15","0.031082305","127.0.0.1","127.0.0.1","TCP","66","0.031082305","0.000020799","8822  >  53208 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=3016545474 TSecr=3016545474"
"16","0.031105101","127.0.0.1","127.0.0.1","HTTP2","20049","0.031105101","0.000022796","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
"17","0.031115662","127.0.0.1","127.0.0.1","TCP","66","0.031115662","0.000010561","8822  >  53208 [ACK] Seq=2796 Ack=53275 Win=37888 Len=0 TSval=3016545474 TSecr=3016545474"
"18","0.033822104","127.0.0.1","127.0.0.1","HTTP2","114","0.033822104","0.002706442","WINDOW_UPDATE[0], WINDOW_UPDATE[1]"
"19","0.033871902","127.0.0.1","127.0.0.1","TCP","66","0.033871902","0.000049798","53208  >  8822 [ACK] Seq=53275 Ack=2844 Win=65536 Len=0 TSval=3016545477 TSecr=3016545477"
"20","0.035613337","127.0.0.1","127.0.0.1","HTTP2","113","0.035613337","0.001741435","HEADERS[1]: 201 Created"
"21","0.035624537","127.0.0.1","127.0.0.1","TCP","66","0.035624537","0.000011200","53208  >  8822 [ACK] Seq=53275 Ack=2891 Win=65536 Len=0 TSval=3016545478 TSecr=3016545478"
"22","1.025233773","127.0.0.1","127.0.0.1","HTTP2","32834","1.025233773","0.989609236","HEADERS[3]: POST /post/0-60_18314587645695,24_831518950092683"
"23","1.025276334","127.0.0.1","127.0.0.1","HTTP2","13210","1.025276334","0.000042561","DATA[3][TLS segment of a reassembled PDU], DATA[3], DATA[3]"
"24","1.025407889","127.0.0.1","127.0.0.1","TCP","66","1.025407889","0.000131555","8822  >  53208 [ACK] Seq=2891 Ack=99187 Win=65536 Len=0 TSval=3016546468 TSecr=3016546468"
"25","1.026355173","127.0.0.1","127.0.0.1","HTTP2","101","1.026355173","0.000947284","WINDOW_UPDATE[0]"
"26","1.026360816","127.0.0.1","127.0.0.1","TCP","66","1.026360816","0.000005643","53208  >  8822 [ACK] Seq=99187 Ack=2926 Win=65536 Len=0 TSval=3016546469 TSecr=3016546469"
"27","1.026695742","127.0.0.1","127.0.0.1","HTTP2","101","1.026695742","0.000334926","WINDOW_UPDATE[3]"
"28","1.026703177","127.0.0.1","127.0.0.1","TCP","66","1.026703177","0.000007435","53208  >  8822 [ACK] Seq=99187 Ack=2961 Win=65536 Len=0 TSval=3016546469 TSecr=3016546469"
"29","1.027148717","127.0.0.1","127.0.0.1","HTTP2","6803","1.027148717","0.000445540","DATA[3], DATA[3] (JPEG JFIF image)"
"30","1.027215199","127.0.0.1","127.0.0.1","TCP","66","1.027215199","0.000066482","8822  >  53208 [ACK] Seq=2961 Ack=105924 Win=196480 Len=0 TSval=3016546470 TSecr=3016546470"
"31","1.027525919","127.0.0.1","127.0.0.1","HTTP2","101","1.027525919","0.000310720","WINDOW_UPDATE[0]"
"32","1.027543084","127.0.0.1","127.0.0.1","TCP","66","1.027543084","0.000017165","53208  >  8822 [ACK] Seq=105924 Ack=2996 Win=65536 Len=0 TSval=3016546470 TSecr=3016546470"
"33","1.028136578","127.0.0.1","127.0.0.1","HTTP2","100","1.028136578","0.000593494","HEADERS[3]: 201 Created"
"34","1.028142085","127.0.0.1","127.0.0.1","TCP","66","1.028142085","0.000005507","53208  >  8822 [ACK] Seq=105924 Ack=3030 Win=65536 Len=0 TSval=3016546471 TSecr=3016546471"
"35","2.025570960","127.0.0.1","127.0.0.1","HTTP2","52715","2.025570960","0.997428875","DATA[5], DATA[5], DATA[5], DATA[5], DATA[5]"
"36","2.025670232","127.0.0.1","127.0.0.1","TCP","66","2.025670232","0.000099272","8822  >  53208 [ACK] Seq=3030 Ack=158573 Win=327424 Len=0 TSval=3016547468 TSecr=3016547468"
"37","2.026887221","127.0.0.1","127.0.0.1","HTTP2","114","2.026887221","0.001216989","WINDOW_UPDATE[0], WINDOW_UPDATE[5]"
"38","2.026895431","127.0.0.1","127.0.0.1","TCP","66","2.026895431","0.000008210","53208  >  8822 [ACK] Seq=158573 Ack=3078 Win=65536 Len=0 TSval=3016547470 TSecr=3016547470"
"39","2.028098810","127.0.0.1","127.0.0.1","HTTP2","100","2.028098810","0.001203379","HEADERS[5]: 201 Created"
"40","2.028111279","127.0.0.1","127.0.0.1","TCP","66","2.028111279","0.000012469","53208  >  8822 [ACK] Seq=158573 Ack=3112 Win=65536 Len=0 TSval=3016547471 TSecr=3016547471"
"41","3.025597659","127.0.0.1","127.0.0.1","HTTP2","45978","3.025597659","0.997486380","DATA[7], DATA[7], DATA[7]"
"42","3.026453584","127.0.0.1","127.0.0.1","HTTP2","101","3.026453584","0.000855925","WINDOW_UPDATE[0]"
"43","3.026471165","127.0.0.1","127.0.0.1","TCP","66","3.026471165","0.000017581","53208  >  8822 [ACK] Seq=204485 Ack=3147 Win=65536 Len=0 TSval=3016548469 TSecr=3016548469"
"44","3.026762960","127.0.0.1","127.0.0.1","HTTP2","101","3.026762960","0.000291795","WINDOW_UPDATE[7]"
"45","3.026770232","127.0.0.1","127.0.0.1","TCP","66","3.026770232","0.000007272","53208  >  8822 [ACK] Seq=204485 Ack=3182 Win=65536 Len=0 TSval=3016548470 TSecr=3016548470"
"46","3.027403338","127.0.0.1","127.0.0.1","HTTP2","6803","3.027403338","0.000633106","DATA[7], DATA[7] (JPEG JFIF image)"
"47","3.028271922","127.0.0.1","127.0.0.1","HTTP2","101","3.028271922","0.000868584","WINDOW_UPDATE[0]"
